Номер,Наименование перевозчика,Номер маршрута,"Марка, модель автобуса",Тип вместимости (ОБ БВ СВ),Год выпуска автобуса,Класс экологической безопасности,Государственный регистрационный знак
556,"ООО ""Управление предприятиями СЛК""",71,МАЗ-203067,БВ,2012,Евро 4,В 763 НУ 178
557,"ООО ""Управление предприятиями СЛК""",70,МАЗ-203067,БВ,2012,Евро 4,В 764 НУ 178
558,"ООО ""Управление предприятиями СЛК""",18,МАЗ-203067,БВ,2012,Евро 4,В 299 НУ 178
559,"ООО ""Управление предприятиями СЛК""",18,МАЗ-203067,БВ,2012,Евро 4,В 300 НУ 178
560,"ООО ""Управление предприятиями СЛК""",к-404,МАЗ-206068,СВ,2012,Евро 4,В 813 НМ 178
561,"ООО ""Управление предприятиями СЛК""",к-404,МАЗ-206068,СВ,2012,Евро 4,В 814 НМ 178
562,"ООО ""Управление предприятиями СЛК""",к-404,МАЗ-206068,СВ,2012,Евро 4,В 815 НМ 178
563,"ООО ""Управление предприятиями СЛК""",к-404,МАЗ-206068,СВ,2012,Евро 4,В 816 НМ 178
564,"ООО ""Управление предприятиями СЛК""",к-404,МАЗ-206068,СВ,2012,Евро 4,В 817 НМ 178
565,"ООО ""Управление предприятиями СЛК""",к-52,ПАЗ-320402-05,СВ,2013,Евро 4,В 952 СС 178
566,"ООО ""Управление предприятиями СЛК""",к-52,ПАЗ-320402-05,СВ,2013,Евро 4,В 953 СС 178
567,"ООО ""Управление предприятиями СЛК""",к-52,ПАЗ-320402-05,СВ,2013,Евро 4,В 954 СС 178
568,"ООО ""Управление предприятиями СЛК""",к-52,ПАЗ-320402-05,СВ,2013,Евро 4,В 955 СС 178
569,"ООО ""Управление предприятиями СЛК""",к-52,ПАЗ-320402-05,СВ,2013,Евро 4,В 956 СС 178
570,"ООО ""Управление предприятиями СЛК""",к-52,ПАЗ-320402-05,СВ,2013,Евро 4,В 957 СС 178
571,"ООО ""Управление предприятиями СЛК""",к-404,ПАЗ-320412-05,СВ,2013,Евро 4,В 464 СО 178
572,"ООО ""Управление предприятиями СЛК""",к-404,ПАЗ-320412-05,СВ,2013,Евро 4,В 465 СО 178
573,"ООО ""Управление предприятиями СЛК""",к-404,ПАЗ-320412-05,СВ,2013,Евро 4,В 466 СО 178
574,"ООО ""ШПУНТ-Северо-Запад""",6Л,ЛиАЗ 529353,БВ,2010,Евро 3,В 260 АТ 178
575,"ООО ""ШПУНТ-Северо-Запад""",К-242,Iveco Daily,СВ,2010,Евро 3,В 243 АТ 178
576,"ООО ""ШПУНТ-Северо-Запад""",К-242,Iveco Daily,СВ,2010,Евро 3,В 284 АТ 178
577,"ООО ""ШПУНТ-Северо-Запад""",К-242,Iveco Daily,СВ,2010,Евро 3,В 119 АТ 178
578,"ООО ""ШПУНТ-Северо-Запад""",К-242,Iveco Daily,СВ,2010,Евро 3,В 133 АТ 178
579,"ООО ""ШПУНТ-Северо-Запад""",К-242,Iveco Daily,СВ,2010,Евро 3,В 244 АТ 178
580,"ООО ""ШПУНТ-Северо-Запад""",К-242,Iveco Daily,СВ,2010,Евро 3,В 285 АТ 178
581,"ООО ""ШПУНТ-Северо-Запад""",58,ЛиАЗ 529353,БВ,2010,Евро 3,В 256 АТ 178
582,"ООО ""ШПУНТ-Северо-Запад""",58,ЛиАЗ 529353,БВ,2010,Евро 3,В 268 АТ 178
583,"ООО ""ШПУНТ-Северо-Запад""",К-8,Iveco Daily,СВ,2010,Евро 3,В 126 АТ 178
584,"ООО ""ШПУНТ-Северо-Запад""",К-8,Iveco Daily,СВ,2010,Евро 3,В 238 АТ 178
585,"ООО ""ШПУНТ-Северо-Запад""",К-8,Iveco Daily,СВ,2010,Евро 3,В 248 АТ 178
586,"ООО ""ШПУНТ-Северо-Запад""",К-8,Iveco Daily,СВ,2010,Евро 3,В 224 АТ 178
587,"ООО ""ШПУНТ-Северо-Запад""",К-8,Iveco Daily,СВ,2010,Евро 3,В 281 АТ 178
588,"ООО ""ШПУНТ-Северо-Запад""",К-8,Iveco Daily,СВ,2010,Евро 3,В 226 АТ 178
589,"ООО ""ШПУНТ-Северо-Запад""",К-8,Iveco Daily,СВ,2010,Евро 3,В 280 АТ 178
590,"ООО ""ШПУНТ-Северо-Запад""",К-8,Iveco Daily,СВ,2010,Евро 3,В 250 АТ 178
591,"ООО ""ШПУНТ-Северо-Запад""",К-8,Iveco Daily,СВ,2010,Евро 3,В 237 АТ 178
592,"ООО ""ШПУНТ-Северо-Запад""",К-8,Iveco Daily,СВ,2010,Евро 3,В 227 АТ 178
593,"ООО ""ШПУНТ-Северо-Запад""",К-8,Iveco Daily,СВ,2010,Евро 3,В 150 АТ 178
594,"ООО ""ШПУНТ-Северо-Запад""",К-8,Iveco Daily,СВ,2010,Евро 3,В 198 АТ 178
595,"ООО ""ШПУНТ-Северо-Запад""",К-8,Iveco Daily,СВ,2010,Евро 3,В 149 АТ 178
596,"ООО ""ШПУНТ-Северо-Запад""",К-16,ПАЗ 320412,СВ,2013,Евро 4,В 713 ОС 178
597,"ООО ""ШПУНТ-Северо-Запад""",К-16,ПАЗ 320412,СВ,2013,Евро 4,В 721 ОС 178
598,"ООО ""ШПУНТ-Северо-Запад""",К-16,ПАЗ 320412,СВ,2013,Евро 4,В 715 ОС 178
599,"ООО ""ШПУНТ-Северо-Запад""",К-16,Iveco Daily,СВ,2010,Евро 3,В 219 АТ 178
600,"ООО ""ШПУНТ-Северо-Запад""",К-16,Iveco Daily,СВ,2010,Евро 3,В 220 АТ 178
601,"ООО ""ШПУНТ-Северо-Запад""",К-16,Iveco Daily,СВ,2010,Евро 3,В 221 АТ 178
602,"ООО ""ШПУНТ-Северо-Запад""",К-16,Iveco Daily,СВ,2010,Евро 3,В 223 АТ 178
603,"ООО ""ШПУНТ-Северо-Запад""",К-16,Iveco Daily,СВ,2010,Евро 3,В 225 АТ 178
604,"ООО ""ШПУНТ-Северо-Запад""",К-16,Iveco Daily,СВ,2010,Евро 3,В 130 АТ 178
605,"ООО ""ШПУНТ-Северо-Запад""",К-16,Iveco Daily,СВ,2010,Евро 3,В 131 АТ 178
606,"ООО ""ШПУНТ-Северо-Запад""",83,ЛиАЗ 529353,БВ,2010,Евро 3,В 211 АТ 178
607,"ООО ""ШПУНТ-Северо-Запад""",83,ЛиАЗ 529353,БВ,2010,Евро 3,В 251 АТ 178
608,"ООО ""ШПУНТ-Северо-Запад""",83,ЛиАЗ 529353,БВ,2010,Евро 3,В 252 АТ 178
609,"ООО ""ШПУНТ-Северо-Запад""",83,ЛиАЗ 529353,БВ,2010,Евро 3,В 255 АТ 178
610,"ООО ""ШПУНТ-Северо-Запад""",83,ЛиАЗ 529353,БВ,2010,Евро 3,В 258 АТ 178
611,"ООО ""ШПУНТ-Северо-Запад""",К-60,Iveco Daily,СВ,2010,Евро 3,В 230 АТ 178
612,"ООО ""ШПУНТ-Северо-Запад""",К-60,Iveco Daily,СВ,2010,Евро 3,В 102 АТ 178
613,"ООО ""ШПУНТ-Северо-Запад""",К-60,Iveco Daily,СВ,2010,Евро 3,В 127 АТ 178
614,"ООО ""ШПУНТ-Северо-Запад""",К-60,Iveco Daily,СВ,2010,Евро 3,В 128 АТ 178
615,"ООО ""ШПУНТ-Северо-Запад""",К-60,Iveco Daily,СВ,2010,Евро 3,В 273 АТ 178
616,"ООО ""ШПУНТ-Северо-Запад""",К-60,Iveco Daily,СВ,2010,Евро 3,В 274 АТ 178
617,"ООО ""ШПУНТ-Северо-Запад""",К-60,Iveco Daily,СВ,2010,Евро 3,В 275 АТ 178
618,"ООО ""ШПУНТ-Северо-Запад""",К-60,Iveco Daily,СВ,2010,Евро 3,В 199 АТ 178
619,"ООО ""ШПУНТ-Северо-Запад""",К-60,Iveco Daily,СВ,2010,Евро 3,В 214 АТ 178
620,"ООО ""ШПУНТ-Северо-Запад""",К-60,Iveco Daily,СВ,2010,Евро 3,В 217 АТ 178
621,"ООО ""ШПУНТ-Северо-Запад""",К-60,Iveco Daily,СВ,2010,Евро 3,В 228 АТ 178
622,"ООО ""ШПУНТ-Северо-Запад""",К-142,Iveco Daily,СВ,2010,Евро 3,В 123 АТ 178
623,"ООО ""ШПУНТ-Северо-Запад""",К-142,Iveco Daily,СВ,2010,Евро 3,В 122 АТ 178
624,"ООО ""ШПУНТ-Северо-Запад""",К-142,Iveco Daily,СВ,2010,Евро 3,В 135 АТ 178
625,"ООО ""ШПУНТ-Северо-Запад""",К-142,Iveco Daily,СВ,2010,Евро 3,В 136 АТ 178
626,"ООО ""ШПУНТ-Северо-Запад""",К-142,Iveco Daily,СВ,2010,Евро 3,В 137 АТ 178
627,"ООО ""ШПУНТ-Северо-Запад""",К-142,Iveco Daily,СВ,2010,Евро 3,В 140 АТ 178
628,"ООО ""ШПУНТ-Северо-Запад""",К-142,Iveco Daily,СВ,2010,Евро 3,В 141 АТ 178
629,"ООО ""ШПУНТ-Северо-Запад""",К-142,Iveco Daily,СВ,2010,Евро 3,В 205 АТ 178
630,"ООО ""ШПУНТ-Северо-Запад""",К-142,Iveco Daily,СВ,2010,Евро 3,В 229 АТ 178
631,"ООО ""ШПУНТ-Северо-Запад""",К-142,Iveco Daily,СВ,2010,Евро 3,В 249 АТ 178
632,"ООО ""ШПУНТ-Северо-Запад""",К-142,Iveco Daily,СВ,2010,Евро 3,В 216 АТ 178
633,"ООО ""ШПУНТ-Северо-Запад""",88,ЛиАЗ 529353,БВ,2010,Евро 3,В 257 АТ 178
634,"ООО ""ШПУНТ-Северо-Запад""",88,ЛиАЗ 529353,БВ,2010,Евро 3,В 254 АТ 178
635,"ООО ""ШПУНТ-Северо-Запад""",88,ЛиАЗ 529353,БВ,2010,Евро 3,В 261 АТ 178
636,"ООО ""ШПУНТ-Северо-Запад""",89,ЛиАЗ 529353,БВ,2010,Евро 3,В 253 АТ 178
637,"ООО ""ШПУНТ-Северо-Запад""",89,ЛиАЗ 529353,БВ,2010,Евро 3,В 270 АТ 178
638,"ООО ""ШПУНТ-Северо-Запад""",89,ЛиАЗ 529353,БВ,2010,Евро 3,В 267 АТ 178
639,"ООО ""ШПУНТ-Северо-Запад""",К-89,Iveco Daily,СВ,2010,Евро 3,В 245 АТ 178
640,"ООО ""ШПУНТ-Северо-Запад""",К-89,Iveco Daily,СВ,2010,Евро 3,В 247 АТ 178
641,"ООО ""ШПУНТ-Северо-Запад""",К-89,Iveco Daily,СВ,2010,Евро 3,В 246 АТ 178
642,"ООО ""ШПУНТ-Северо-Запад""",К-89,Iveco Daily,СВ,2010,Евро 3,В 231 АТ 178
643,"ООО ""ШПУНТ-Северо-Запад""",К-89,Iveco Daily,СВ,2010,Евро 3,В 232 АТ 178
644,"ООО ""ШПУНТ-Северо-Запад""",К-89,Iveco Daily,СВ,2010,Евро 3,В 233 АТ 178
645,"ООО ""ШПУНТ-Северо-Запад""",К-89,Iveco Daily,СВ,2010,Евро 3,В 234 АТ 178
646,"ООО ""ШПУНТ-Северо-Запад""",К-89,Iveco Daily,СВ,2010,Евро 3,В 235 АТ 178
647,"ООО ""ШПУНТ-Северо-Запад""",К-297,Iveco Daily,СВ,2010,Евро 3,В 296 АТ 178
648,"ООО ""ШПУНТ-Северо-Запад""",К-297,Iveco Daily,СВ,2010,Евро 3,В 283 АТ 178
649,"ООО ""ШПУНТ-Северо-Запад""",К-297,Iveco Daily,СВ,2010,Евро 3,В 295 АТ 178
650,"ООО ""ШПУНТ-Северо-Запад""",К-297,Iveco Daily,СВ,2010,Евро 3,В 215 АТ 178
651,"ООО ""ШПУНТ-Северо-Запад""",К-297,Iveco Daily,СВ,2010,Евро 3,В 236 АТ 178
652,"ООО ""ШПУНТ-Северо-Запад""",К-297,Iveco Daily,СВ,2010,Евро 3,В 241 АТ 178
653,"ООО ""ШПУНТ-Северо-Запад""",163,ЛиАЗ 529353,БВ,2010,Евро 3,В 263 АТ 178
654,"ООО ""ШПУНТ-Северо-Запад""",163,ЛиАЗ 529353,БВ,2010,Евро 3,В 269 АТ 178
655,"ООО ""ШПУНТ-Северо-Запад""",К-224к,MERSEDES-BENZ SPRINTER,СВ,2011,Евро 3,О 446 СА 178
656,"ООО ""ШПУНТ-Северо-Запад""",К-224к,Iveco Daily,СВ,2010,Евро 3,В 336 ВО 178
657,"ООО ""ШПУНТ-Северо-Запад""",К-224к,MERSEDES-BENZ SPRINTER,СВ,2014,Евро 5,С 606 ВУ 178
658,"ООО ""ШПУНТ-Северо-Запад""",К-224к,MERSEDES-BENZ SPRINTER,СВ,2014,Евро 5,Т 080 АЕ 178
659,"ООО ""ШПУНТ-Северо-Запад""",К-224к,MERSEDES-BENZ SPRINTER,СВ,2015,Евро 5,C 260 TT 178
660,"ООО ""ШПУНТ-Северо-Запад""",К-224к,Iveco Daily,СВ,2010,Евро 3,В 744 ЕК 178
661,"ООО ""ШПУНТ-Северо-Запад""",К-224к,Iveco Daily,СВ,2010,Евро 3,В 738 ЕК 178
662,"ООО ""ШПУНТ-Северо-Запад""",К-224к,Iveco Daily,СВ,2010,Евро 3,В 741 ЕК 178
663,"ООО ""ШПУНТ-Северо-Запад""",К-224к,Iveco Daily,СВ,2010,Евро 3,В 379 ВТ 178
664,"ООО ""ШПУНТ-Северо-Запад""",К-224к,Iveco Daily,СВ,2010,Евро 3,В 206 АТ 178
665,"ООО ""ШПУНТ-Северо-Запад""",К-224к,Iveco Daily,СВ,2010,Евро 3,В 739 ЕК 178
666,"ООО ""ШПУНТ-Северо-Запад""",К-224к,Iveco Daily,СВ,2010,Евро 3,В 740 ЕК 178
667,"ООО ""ШПУНТ-Северо-Запад""",К-224к,Iveco Daily,СВ,2010,Евро 3,В 332 ВО 178
668,"ООО ""ШПУНТ-Северо-Запад""",К-224к,Iveco Daily,СВ,2010,Евро 3,В 335 ВО 178
669,"ООО ""ШПУНТ-Северо-Запад""",К-224к,Iveco Daily,СВ,2010,Евро 3,В 748 ЕК 178
670,"ООО ""ШПУНТ-Северо-Запад""",347,ЛиАЗ 529353,БВ,2010,Евро 3,В 212 АТ 178
671,"ООО ""ШПУНТ-Северо-Запад""",349,ЛиАЗ 529353,БВ,2010,Евро 3,В 266 АТ 178
672,"ООО ""ШПУНТ-Северо-Запад""",352,ЛиАЗ 529353,БВ,2010,Евро 3,В 259 АТ 178
673,"ООО ""ШПУНТ-Северо-Запад""",352,ЛиАЗ 529353,БВ,2010,Евро 3,В 265 АТ 178
674,"ООО ""ШПУНТ-Северо-Запад""",К-424А,MERSEDES-BENZ SPRINTER,СВ,2013,Евро 5,Х 946 КС 47
675,"ООО ""ШПУНТ-Северо-Запад""",К-424А,MERSEDES-BENZ SPRINTER,СВ,2013,Евро 5,О 415 УК 178
676,"ООО ""ШПУНТ-Северо-Запад""",К-424А,БТД 2219-0000013,СВ,2012,Евро 5,Х 324 ВР 47
677,"ООО ""ШПУНТ-Северо-Запад""",К-424А,БТД 2219-0000013,СВ,2012,Евро 5,У 104 ХЕ 47
678,"ООО ""ШПУНТ-Северо-Запад""",К-424А,БТД 2219-0000013,СВ,2012,Евро 5,У 102 ХЕ 47
679,"ООО ""ШПУНТ-Северо-Запад""",К-424А,БТД 2219-0000013,СВ,2012,Евро 5,М 347 ОС 178
680,"ООО ""ШПУНТ-Северо-Запад""",К-424А,БТД 2219-0000013,СВ,2012,Евро 5,У 103 ХЕ 47
681,"ООО ""ШПУНТ-Северо-Запад""",К-424А,MERSEDES-BENZ SPRINTER,СВ,2013,Евро 5,Х 352 МР 47
682,"ООО ""ШПУНТ-Северо-Запад""",К-424А,БТД 2219-0000013,СВ,2012,Евро 5,М 346 ОС 178
683,"ООО ""ШПУНТ-Северо-Запад""",К-424А,MERSEDES-BENZ SPRINTER,СВ,2013,Евро 5,Х 351 МР 47
684,"ООО ""ШПУНТ-Северо-Запад""",К-424А,Iveco Daily,СВ,2010,Евро 3,В 124 АТ 178
685,"ООО ""ШПУНТ-Северо-Запад""",К-424А,Iveco Daily,СВ,2010,Евро 3,В 148 АТ 178
686,"ООО ""ШПУНТ-Северо-Запад""",К-424А,Iveco Daily,СВ,2010,Евро 3,В 203 АТ 178
687,"ООО ""ШПУНТ-Северо-Запад""",К-424А,Iveco Daily,СВ,2010,Евро 3,В 207 АТ 178
688,"ООО ""ШПУНТ-Северо-Запад""",К-424А,Iveco Daily,СВ,2010,Евро 3,В 737 ЕК 178
689,"ООО ""ШПУНТ-Северо-Запад""",К-424А,Iveco Daily,СВ,2010,Евро 3,В 209 АТ 178
690,"ООО ""ШПУНТ-Северо-Запад""",К-424А,Iveco Daily,СВ,2010,Евро 3,В 745 ЕК 178
691,"ООО ""ШПУНТ-Северо-Запад""",К-424А,Iveco Daily,СВ,2010,Евро 3,В 750 ЕК 178
692,"ООО ""ШПУНТ-Северо-Запад""",К-424А,Iveco Daily,СВ,2010,Евро 3,В 742 ЕК 178
693,"ООО ""ШПУНТ-Северо-Запад""",К-424А,Iveco Daily,СВ,2010,Евро 3,В 736 ЕК 178
694,"ООО ""ШПУНТ-Северо-Запад""",К-242,Iveco Daily,СВ,2010,Евро 3,В 297 АТ 178
695,"ООО ""ШПУНТ-Северо-Запад""",К-242,Iveco Daily,СВ,2010,Евро 3,В 298 АТ 178
696,"ООО ""ШПУНТ-Северо-Запад""",К-88,Iveco Daily,СВ,2010,Евро 3,В 282 АТ 178
697,"ООО ""ШПУНТ-Северо-Запад""",К-88,Iveco Daily,СВ,2010,Евро 3,В 271 АТ 178
698,"ООО ""ШПУНТ-Северо-Запад""",К-88,Iveco Daily,СВ,2010,Евро 3,В 272 АТ 178
699,"ООО ""ШПУНТ-Северо-Запад""",К-88,Iveco Daily,СВ,2010,Евро 3,В 279 АТ 178
700,"ООО ""ШПУНТ-Северо-Запад""",К-88,Iveco Daily,СВ,2010,Евро 3,В 139 АТ 178
701,"ООО ""ШПУНТ-Северо-Запад""",К-88,Iveco Daily,СВ,2010,Евро 3,В 113 АТ 178
702,"ООО ""ШПУНТ-Северо-Запад""",К-88,Iveco Daily,СВ,2010,Евро 3,В 117 АТ 178
703,"ООО ""ШПУНТ-Северо-Запад""",К-88,Iveco Daily,СВ,2010,Евро 3,В 213 АТ 178
704,"ООО ""5 парк""",63,МАЗ 203,БВ,2012,Евро 3,В 169 КТ 178
705,"ООО ""5 парк""",63,МАЗ 203,БВ,2012,Евро 3,В 170 КТ 178
706,"ООО ""5 парк""",63,МАЗ 203,БВ,2012,Евро 3,В 171 КТ 178
707,"ООО ""5 парк""",63,МАЗ 203,БВ,2012,Евро 3,В 306 КТ 178
708,"ООО ""5 парк""",63,МАЗ 203,БВ,2012,Евро 3,В 172 КТ 178
709,"ООО ""5 парк""",К-36,МАЗ 206,СВ,2012,Евро 3,В 162 КТ 178
710,"ООО ""5 парк""",К-36,МАЗ 206,СВ,2012,Евро 3,В 928 КТ 178
711,"ООО ""5 парк""",К-36,МАЗ 206,СВ,2012,Евро 3,В 165 КТ 178
712,"ООО ""5 парк""",К-36,МАЗ 206,СВ,2012,Евро 3,В 166 КТ 178
713,"ООО ""5 парк""",К-36,МАЗ 206,СВ,2012,Евро 3,В 167 КТ 178
714,"ООО ""5 парк""",К-36,МАЗ 206,СВ,2012,Евро 3,В 168 КТ 178
715,"ООО ""5 парк""",К-36,МАЗ 206,СВ,2012,Евро 3,В 308 КТ 178
716,"ООО ""5 парк""",К-36,МАЗ 206,СВ,2012,Евро 3,В 309 КТ 178
717,"ООО ""5 парк""",К-36,МАЗ 206,СВ,2012,Евро 3,В 926 КТ 178
718,"ООО ""5 парк""",К-36,МАЗ 206,СВ,2012,Евро 3,В 927 КТ 178
719,"ООО ""5 парк""",К-338,МАЗ 206,СВ,2012,Евро 3,В 937 КТ 178
720,"ООО ""5 парк""",К-338,МАЗ 206,СВ,2012,Евро 3,В 938 КТ 178
721,"ООО ""5 парк""",К-338,МАЗ 206,СВ,2012,Евро 3,В 943 КТ 178
722,"ООО ""5 парк""",К-338,МАЗ 206,СВ,2012,Евро 3,В 941 КТ 178
723,"ООО ""5 парк""",К-338,МАЗ 206,СВ,2012,Евро 3,В 940 КТ 178
724,"ООО ""5 парк""",К-338,МАЗ 206,СВ,2012,Евро 3,В 960 МР 178
725,"ООО ""5 парк""",К-338,МАЗ 206,СВ,2012,Евро 3,В 963 МР 178
726,"ООО ""5 парк""",К-338,МАЗ 206,СВ,2012,Евро 3,В 959 МР 178
727,"ООО ""5 парк""",К-338,МАЗ 206,СВ,2012,Евро 3,В 944 КТ 178
728,"ООО ""5 парк""",К-338,МАЗ 206,СВ,2012,Евро 3,В 939 КТ 178
729,"ООО ""5 парк""",К-1 МЕГА,МАЗ 203,БВ,2012,Евро 3,В 173 КТ 178
730,"ООО ""5 парк""",К-1 МЕГА,МАЗ 203,БВ,2012,Евро 3,В 303 КТ 178
731,"ООО ""5 парк""",К-1 МЕГА,МАЗ 203,БВ,2012,Евро 3,В 305 КТ 178
732,"ООО ""5 парк""",К-1 МЕГА,МАЗ 203,БВ,2012,Евро 3,В 310 КТ 178
733,"ООО ""5 парк""",К-1 МЕГА,МАЗ 203,БВ,2012,Евро 3,В 947 КУ 178
734,"ООО ""5 парк""",К-1 МЕГА,МАЗ 203,БВ,2012,Евро 3,В 948 КУ 178
735,"ООО ""5 парк""",К-2 МЕГА,МАЗ 203,СВ,2012,Евро 4,В 929 КТ 178
736,"ООО ""5 парк""",К-2 МЕГА,МАЗ 203,СВ,2012,Евро 4,В 930 КТ 178
737,"ООО ""5 парк""",К-2 МЕГА,МАЗ 203,СВ,2012,Евро 4,В 931 КТ 178
738,"ООО ""5 парк""",К-2 МЕГА,МАЗ 203,СВ,2012,Евро 4,В 932 КТ 178
739,"ООО ""5 парк""",К-2 МЕГА,МАЗ 203,СВ,2012,Евро 4,В 933 КТ 178
740,"ООО ""5 парк""",К-2 МЕГА,МАЗ 203,СВ,2012,Евро 4,В 934 КТ 178
741,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 954 ЕУ 178
742,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 960 ЕУ 178
743,"ООО ""Вест-Сервис""",К-186,БТД 2219-0000013,СВ,2011,Евро 4,В 855 ВК 178
744,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 546 ВС 178
745,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 542 ВС 178
746,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 952 ВВ 178
747,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 536 ВС 178
748,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 758 ВВ 178
749,"ООО ""Вест-Сервис""",К-484,22370C,СВ,2011,Евро 4,В 772 ВВ 178
750,"ООО ""Вест-Сервис""",К-186,22370C,СВ,2011,Евро 4,В 765 ВВ 178
751,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 768 ВВ 178
752,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 771 ВВ 178
753,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 540 ВС 178
754,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 956 ВВ 178
755,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 974 ВВ 178
756,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 973 ВВ 178
757,"ООО ""Вест-Сервис""",К-186,22370C,СВ,2011,Евро 4,В 135 ЕР 178
758,"ООО ""Вест-Сервис""",К-484,22370C,СВ,2011,Евро 4,В 506 ВС 178
759,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 504 ВС 178
760,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 501 ВС 178
761,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 147 ЕР 178
762,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 149 ЕР 178
763,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 146 ЕР 178
764,"ООО ""Вест-Сервис""",К-424,22370C,СВ,2011,Евро 4,В 508 ВС 178
765,"ООО ""Вест-Сервис""",К-445Б,БТД 2219-0000013,СВ,2011,Евро 4,В 170 ЕЕ 178
766,"ООО ""Вест-Сервис""",К-186,БТД 2219-0000013,СВ,2011,Евро 4,В 165 ЕЕ 178
767,"ООО ""Вест-Сервис""",К-445Б,БТД 2219-0000013,СВ,2011,Евро 4,В 174 ЕЕ 178
768,"ООО ""Вест-Сервис""",К-186,БТД 2219-0000013,СВ,2011,Евро 4,В 163 ЕЕ 178
769,"ООО ""Вест-Сервис""",К-445Б,БТД 2219-0000013,СВ,2011,Евро 4,В 159 ЕЕ 178
770,"ООО ""Вест-Сервис""",К-484,БТД 2219-0000013,СВ,2011,Евро 4,В 197 ВМ 178
771,"ООО ""Вест-Сервис""",К-186,БТД 2219-0000013,СВ,2011,Евро 4,В 199 ВМ 178
772,"ООО ""Вест-Сервис""",К-84,БТД 2219-0000013,СВ,2011,Евро 4,В 145 ВУ 178
773,"ООО ""Вест-Сервис""",К-445Б,БТД 2219-0000013,СВ,2011,Евро 4,В 130 ВУ 178
774,"ООО ""Вест-Сервис""",К-197,БТД 2219-0000013,СВ,2011,Евро 4,В 127 ВУ 178
775,"ООО ""Вест-Сервис""",К-84,БТД 2219-0000013,СВ,2011,Евро 4,В 072 ЕВ 178
776,"ООО ""Вест-Сервис""",К-484,БТД 2219-0000013,СВ,2011,Евро 4,В 095 ЕВ 178
777,"ООО ""Вест-Сервис""",К-445Б,БТД 2219-0000013,СВ,2011,Евро 4,В 085 ЕВ 178
778,"ООО ""Вест-Сервис""",К-84,БТД 2219-0000013,СВ,2011,Евро 4,В 086 ЕВ 178
779,"ООО ""Вест-Сервис""",К-484,БТД 2219-0000013,СВ,2011,Евро 4,В 034 ЕХ 178
780,"ООО ""Вест-Сервис""",К-445Б,БТД 2219-0000013,СВ,2011,Евро 4,В 033 ЕХ 178
781,"ООО ""Вест-Сервис""",К-445Б,БТД 2219-0000013,СВ,2011,Евро 4,В 036 ЕХ 178
782,"ООО ""Вест-Сервис""",К-186,БТД 2219-0000013,СВ,2011,Евро 4,В 042 ЕХ 178
783,"ООО ""Вест-Сервис""",442,ЛиАЗ 529353,БВ,2011,Евро 3,В 861 КВ 178
784,"ООО ""Вест-Сервис""",344,ЛиАЗ 529353,БВ,2011,Евро 3,В 858 КВ 178
785,"ООО ""Вест-Сервис""",454,ЛиАЗ 529353,БВ,2011,Евро 3,В 259 ВН 178
786,"ООО ""Вест-Сервис""",477,ЛиАЗ 529353,БВ,2011,Евро 3,В 258 ВН 178
787,"ООО ""Вест-Сервис""",278,ЛиАЗ 529353,БВ,2011,Евро 3,В 263 ВН 178
788,"ООО ""Вест-Сервис""",144,ЛиАЗ 529353,БВ,2011,Евро 3,В 264 ВН 178
789,"ООО ""Вест-Сервис""",149,ЛиАЗ 529353,БВ,2011,Евро 3,В 262 ВН 178
790,"ООО ""Вест-Сервис""",687,ЛиАЗ 529353,БВ,2011,Евро 3,В 261 ВН 178
791,"ООО ""Вест-Сервис""",684,ЛиАЗ 529353,БВ,2011,Евро 3,В 260 ВН 178
792,"ООО ""Вест-Сервис""",144,ЛиАЗ 529353,БВ,2011,Евро 3,В 238 ВН 178
793,"ООО ""Вест-Сервис""",146,ЛиАЗ 529353,БВ,2011,Евро 3,В 237 ВН 178
794,"ООО ""Вест-Сервис""",147,ЛиАЗ 529353,БВ,2011,Евро 3,В 188 ВУ 178
795,"ООО ""Вест-Сервис""",144,ЛиАЗ 529353,БВ,2011,Евро 3,В 065 ЕВ 178
