Номер,Наименование перевозчика,Номер маршрута,"Марка, модель автобуса",Тип вместимости (ОБ БВ СВ),Год выпуска автобуса,Класс экологической безопасности,Государственный регистрационный знак
53,"ОАО ""АТП-31""",К-107,ПАЗ 320402-03,СВ,2011,Евро 3,В 428 ВВ 178
54,"ОАО ""АТП-31""",К-107,ПАЗ 320402-03,СВ,2011,Евро 3,В 430 ВВ 178
55,"ОАО ""АТП-31""",К-107,ПАЗ 320402-03,СВ,2011,Евро 3,В 433 ВВ 178
56,"ОАО ""АТП-31""",К-107,ПАЗ 320402-03,СВ,2011,Евро 3,В 434 ЕР 178
57,"ОАО ""АТП-31""",К-107,ПАЗ 320402-03,СВ,2011,Евро 3,В 518 КР 178
58,"ОАО ""АТП-31""",К-107,ПАЗ 320402-03,СВ,2011,Евро 3,В 519 КР 178
59,"ОАО ""АТП-31""",К-107,ПАЗ 320402-03,СВ,2011,Евро 3,В 520 КР 178
60,"ОАО ""АТП-31""",К-107,ПАЗ 320402-03,СВ,2011,Евро 3,В 521 КР 178
61,"ОАО ""АТП-31""",К-107,ПАЗ 320402-03,СВ,2011,Евро 3,В 522 КР 178
62,"ОАО ""АТП-31""",К-107,ПАЗ 320402-03,СВ,2011,Евро 3,В 523 КР 178
63,"ОАО ""АТП-31""",К-107,ПАЗ 320402-03,СВ,2011,Евро 3,В 524 КР 178
64,"ОАО ""АТП-31""",К-107,ПАЗ 320402-03,СВ,2011,Евро 3,В 525 КР 178
65,"ОАО ""АТП-31""",167,ЛиАЗ 52922,БВ,2010,Евро 3,В 585 ВА 178
66,"ОАО ""АТП-31""",167,ЛиАЗ 52922,БВ,2010,Евро 3,В 586 ВА 178
67,"ОАО ""АТП-31""",167,ЛиАЗ 52922,БВ,2010,Евро 3,В 490 ВК 178
68,"ОАО ""АТП-31""",К-157,ПАЗ 320402-03,СВ,2010,Евро 3,В 171 ТА 178
69,"ОАО ""АТП-31""",К-157,ПАЗ 320402-03,СВ,2010,Евро 3,В 172 ТА 178
70,"ОАО ""АТП-31""",К-157,ПАЗ 320402-03,СВ,2010,Евро 3,В 187 ТА 178
71,"ОАО ""АТП-31""",К-157,ПАЗ 320402-03,СВ,2010,Евро 3,В 188 ТА 178
72,"ОАО ""АТП-31""",К-157,ПАЗ 320402-03,СВ,2010,Евро 3,В 435 ЕР 178
73,"ОАО ""АТП-31""",К-200,КаВЗ 4235,СВ,2010,Евро 3,В 481 АХ 178
