Идентификатор маршрута,Сокращенное наименование маршрута,Наименование маршрута,Тип маршрута,Тип транспорта,Круговой маршрут,Городской/Пригородный,Ночной
264,177,"АВТОБУСНАЯ СТАНЦИЯ ""РУЧЬИ"" - ДЕРЕВНЯ НОВАЯ",3,Автобус,0,1,0
304,113,"СТ. МЕТРО ""ПАРНАС"" - 3-Й ВЕРХНИЙ ПЕР., 5",3,Автобус,0,1,0
305,1,НАЛИЧНАЯ УЛ. - БЕЛООСТРОВСКАЯ УЛ.,3,Автобус,0,1,0
306,6,УЛ. КОРАБЛЕСТРОИТЕЛЕЙ - ПЛ.СТАЧЕК,3,Автобус,0,1,0
328,171,"КОЛОМЯГИ, НОВОНИКИТИНСКАЯ УЛ. - СТ. МЕТРО КОМЕНДАНТСКИЙ ПР.",3,Автобус,0,1,0
335,143,"АВТОБУСНАЯ СТАНЦИЯ ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - СТ. МЕТРО ""ПОЛИТЕХНИЧЕСКАЯ""",3,Автобус,0,1,0
338,69,"ПРИДОРОЖНАЯ АЛЛЕЯ - СТ. МЕТРО ""ПОЛИТЕХНИЧЕСКАЯ""",3,Автобус,0,1,0
344,154,"СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ"" - КАМЫШОВАЯ УЛ.",3,Автобус,0,1,0
366,36,АС ЗВЁЗДНАЯ УЛ. - СТ. М. БУХАРЕСТСКАЯ,3,Автобус,0,1,0
369,48,"ТРОИЦКОЕ ПОЛЕ - СТ.МЕТРО ""ОБУХОВО""",3,Автобус,0,1,0
371,58,ХРУСТАЛЬНАЯ УЛ.-АТАМАНСКАЯ УЛ. ,3,Автобус,0,1,0
325,40,"КОЛОМЯГИ, АВТОБУСНЫЙ ПАРК - СУЗДАЛЬСКИЙ ПР.",3,Автобус,0,1,0
327,398,ПОС. ПАРГОЛОВО - СЕВЕРНОЕ КЛАДБИЩЕ,3,Автобус,0,1,0
331,127,"КОЛОМЯГИ, АВТОБУСНЫЙ ПАРК - ГЛУХАРСКАЯ УЛ.",3,Автобус,0,1,0
332,86,"АС ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - ФИНЛЯНДСКИЙ ВОКЗАЛ",3,Автобус,0,1,0
